patient_id,case_id,dice_RV,dice_MYO,dice_LV,mean_dice
patient002,patient002_frame01,0.924822986125946,0.8253067135810852,0.9519425630569458,0.900690754254659
patient002,patient002_frame12,0.7763347625732422,0.8578456044197083,0.9338259696960449,0.8560021122296652
patient010,patient010_frame01,0.9055542349815369,0.7983376979827881,0.9580437541007996,0.8873118956883749
patient010,patient010_frame13,0.8520481586456299,0.8042380213737488,0.9572118520736694,0.8711660106976827
patient011,patient011_frame01,0.8240772485733032,0.7659896612167358,0.956732451915741,0.8489331205685934
patient011,patient011_frame08,0.8034167289733887,0.8097787499427795,0.9493765830993652,0.8541906873385111
patient016,patient016_frame01,0.9228852391242981,0.6552821397781372,0.9330793023109436,0.8370822270711263
patient016,patient016_frame12,0.7942105531692505,0.6806020736694336,0.9364229440689087,0.8037451903025309
patient038,patient038_frame01,0.8766200542449951,0.7841305136680603,0.9528985619544983,0.8712163766225179
patient038,patient038_frame11,0.7597842812538147,0.8434922099113464,0.8669270277023315,0.8234011729558309
patient042,patient042_frame01,0.9056470394134521,0.767706036567688,0.9477673768997192,0.8737068176269531
patient042,patient042_frame16,0.7876712083816528,0.776898980140686,0.8819776773452759,0.815515955289205
patient043,patient043_frame01,0.7867494821548462,0.7894932627677917,0.951833188533783,0.842691977818807
patient043,patient043_frame07,0.7565776109695435,0.794561505317688,0.931311309337616,0.8274834752082825
patient046,patient046_frame01,0.8435098528862,0.839304506778717,0.9342706799507141,0.8723616798718771
patient046,patient046_frame10,0.8141907453536987,0.8783733248710632,0.9194126129150391,0.8706588943799337
patient049,patient049_frame01,0.516061544418335,0.5952020287513733,0.819868803024292,0.6437107920646667
patient049,patient049_frame11,0.23936064541339874,0.6273062825202942,0.8513290286064148,0.5726653188467026
patient051,patient051_frame01,0.9123502373695374,0.7837201356887817,0.941140353679657,0.8790702422459921
patient051,patient051_frame11,0.8017457723617554,0.7872201204299927,0.9119335412979126,0.8336331446965536
patient056,patient056_frame01,0.9325018525123596,0.8171380162239075,0.9559076428413391,0.9018491705258688
patient056,patient056_frame12,0.8955550789833069,0.8415048122406006,0.9244219660758972,0.8871606190999349
patient057,patient057_frame01,0.8954570293426514,0.8290550708770752,0.9244222640991211,0.8829781214396158
patient057,patient057_frame09,0.8077142238616943,0.848222553730011,0.9234681725502014,0.8598016500473022
patient066,patient066_frame01,0.8362472057342529,0.8286815285682678,0.9622687101364136,0.8757324814796448
patient066,patient066_frame11,0.8056386709213257,0.841732382774353,0.9033258557319641,0.8502323031425476
patient071,patient071_frame01,0.9137930870056152,0.8447692394256592,0.9605832695960999,0.9063818653424581
patient071,patient071_frame09,0.8369829654693604,0.8486443161964417,0.8451336622238159,0.8435869812965393
patient073,patient073_frame01,0.8424676060676575,0.8232643008232117,0.9465972781181335,0.8707763950030009
patient073,patient073_frame10,0.7538110613822937,0.8750093579292297,0.8306942582130432,0.8198382258415222
patient074,patient074_frame01,0.9668970704078674,0.9276736974716187,0.9757731556892395,0.9567813078562418
patient074,patient074_frame12,0.9405743479728699,0.9250084757804871,0.9468318819999695,0.9374715685844421
patient077,patient077_frame01,0.9227855801582336,0.7909852266311646,0.9405702948570251,0.8847803672154745
patient077,patient077_frame09,0.7597069144248962,0.8161506056785583,0.8361067175865173,0.8039880792299906
patient079,patient079_frame01,0.9403524994850159,0.8573290705680847,0.9518323540687561,0.9165046413739523
patient079,patient079_frame11,0.8311769366264343,0.8688720464706421,0.8773413896560669,0.8591301242510477
patient092,patient092_frame01,0.910431444644928,0.80033940076828,0.9422650337219238,0.884345293045044
patient092,patient092_frame06,0.8029965162277222,0.8493223786354065,0.8674001097679138,0.8399063348770142
patient093,patient093_frame01,0.8559191823005676,0.710796058177948,0.9144612550735474,0.8270588318506876
patient093,patient093_frame14,0.7097346782684326,0.7750108242034912,0.8780993223190308,0.7876149415969849
