patient_id,case_id,dice_RV,dice_MYO,dice_LV,mean_dice
patient002,patient002_frame01,0.9080935716629028,0.8056855201721191,0.9437524080276489,0.885843833287557
patient002,patient002_frame12,0.7276526093482971,0.8531263470649719,0.9295678734779358,0.8367822766304016
patient010,patient010_frame01,0.895008385181427,0.8025855422019958,0.9614907503128052,0.886361559232076
patient010,patient010_frame13,0.8814769387245178,0.8021661043167114,0.95868980884552,0.8807776172955831
patient011,patient011_frame01,0.8523736596107483,0.7523537874221802,0.950339138507843,0.8516888618469238
patient011,patient011_frame08,0.8205203413963318,0.8101599216461182,0.945235550403595,0.858638604482015
patient016,patient016_frame01,0.8797093629837036,0.5445595979690552,0.7361024022102356,0.7201237877209982
patient016,patient016_frame12,0.7704196572303772,0.6297298073768616,0.854716420173645,0.7516219615936279
patient038,patient038_frame01,0.8725019693374634,0.8064529895782471,0.9425575137138367,0.8738374908765157
patient038,patient038_frame11,0.6898770928382874,0.809562623500824,0.8406976461410522,0.7800457874933878
patient042,patient042_frame01,0.21870803833007812,0.3300136923789978,0.3902832269668579,0.3130016525586446
patient042,patient042_frame16,0.0957116186618805,0.2419569492340088,0.15378530323505402,0.16381795704364777
patient043,patient043_frame01,0.8212694525718689,0.7783456444740295,0.9502927660942078,0.8499692877133688
patient043,patient043_frame07,0.7346446514129639,0.789781391620636,0.9232115745544434,0.815879205862681
patient046,patient046_frame01,0.814204752445221,0.8498138189315796,0.9454972147941589,0.8698385953903198
patient046,patient046_frame10,0.7428656220436096,0.8424568772315979,0.8818784356117249,0.8224003116289774
patient049,patient049_frame01,0.37145140767097473,0.41826730966567993,0.5470255613327026,0.4455814262231191
patient049,patient049_frame11,0.0162831861525774,0.5434069037437439,0.6980703473091125,0.41925347906847793
patient051,patient051_frame01,0.7440785765647888,0.6279962658882141,0.9064939022064209,0.7595229148864746
patient051,patient051_frame11,0.5434635877609253,0.715068519115448,0.866165041923523,0.7082323829332987
patient056,patient056_frame01,0.9337315559387207,0.8205692768096924,0.9580219388008118,0.9041075905164083
patient056,patient056_frame12,0.8289286494255066,0.8107963800430298,0.9150125980377197,0.8515792091687521
patient057,patient057_frame01,0.8605177998542786,0.8231649994850159,0.9269900321960449,0.8702242771784464
patient057,patient057_frame09,0.6937320828437805,0.8354253172874451,0.9107325077056885,0.8132966359456381
patient066,patient066_frame01,0.7878414392471313,0.746606707572937,0.9175443053245544,0.8173308173815409
patient066,patient066_frame11,0.7215246558189392,0.8047075867652893,0.8408039808273315,0.78901207447052
patient071,patient071_frame01,0.7337096929550171,0.8141128420829773,0.9599065184593201,0.8359096844991049
patient071,patient071_frame09,0.5488158464431763,0.6830412149429321,0.7280486822128296,0.6533019145329794
patient073,patient073_frame01,0.0010095344623550773,0.4072946012020111,0.2105586677789688,0.20628760114777833
patient073,patient073_frame10,0.012642225250601768,0.520656168460846,0.21037393808364868,0.24789077726503214
patient074,patient074_frame01,0.952683687210083,0.8684561848640442,0.9666153192520142,0.9292517304420471
patient074,patient074_frame12,0.9353070259094238,0.900715172290802,0.9384615421295166,0.9248279134432474
patient077,patient077_frame01,0.9076434969902039,0.8253673911094666,0.958115816116333,0.8970422347386678
patient077,patient077_frame09,0.718696117401123,0.842380940914154,0.8940056562423706,0.8183609048525492
patient079,patient079_frame01,0.8432774543762207,0.7436704039573669,0.9240859150886536,0.8370112578074137
patient079,patient079_frame11,0.6316782832145691,0.7857778668403625,0.845404326915741,0.7542868256568909
patient092,patient092_frame01,0.9132029414176941,0.7229653000831604,0.9189727902412415,0.8517136772473654
patient092,patient092_frame06,0.7888641953468323,0.8050585985183716,0.8579844236373901,0.817302405834198
patient093,patient093_frame01,0.8678526878356934,0.6813094019889832,0.9193846583366394,0.822848916053772
patient093,patient093_frame14,0.6894975900650024,0.7550859451293945,0.8847893476486206,0.7764576276143392
